date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-04-15,RS,Barra do Rio Azul,city,63,1,True,1655,4301925,3806.64653,0.0159
2021-04-15,RS,Barra Funda,city,376,7,True,2551,4301958,14739.31791,0.0186
2021-04-15,RS,Barros Cassal,city,455,6,True,11182,4302006,4069.03953,0.0132
2021-04-15,RS,Benjamin Constant do Sul,city,152,0,True,1958,4302055,7763.02349,0.0
2021-04-15,RS,Bento Gonçalves,city,13413,244,True,121803,4302105,11012.04404,0.0182
2021-04-15,RS,Boa Vista das Missões,city,93,2,True,2092,4302154,4445.50669,0.0215
2021-04-15,RS,Boa Vista do Buricá,city,562,8,True,6712,4302204,8373.06317,0.0142
2021-04-15,RS,Boa Vista do Cadeado,city,136,2,True,2468,4302220,5510.53485,0.0147
2021-04-15,RS,Boa Vista do Incra,city,156,2,True,2616,4302238,5963.30275,0.0128
2021-04-15,RS,Boa Vista do Sul,city,247,2,True,2778,4302253,8891.2887,0.0081
2021-04-15,RS,Bom Jesus,city,533,13,True,11309,4302303,4713.06039,0.0244
2021-04-15,RS,Bom Princípio,city,1281,23,True,14255,4302352,8986.32059,0.018
2021-04-15,RS,Bom Progresso,city,101,1,True,1899,4302378,5318.58873,0.0099
2021-04-15,RS,Bom Retiro do Sul,city,881,21,True,12390,4302402,7110.57304,0.0238
2021-04-15,RS,Boqueirão do Leão,city,543,28,True,7702,4302451,7050.11685,0.0516
2021-04-15,RS,Bossoroca,city,321,18,True,6205,4302501,5173.24738,0.0561
2021-04-15,RS,Bozano,city,195,7,True,2111,4302584,9237.32828,0.0359
2021-04-15,RS,Braga,city,125,4,True,3311,4302600,3775.29447,0.032
2021-04-15,RS,Brochier,city,334,1,True,5104,4302659,6543.88715,0.003
2021-04-15,RS,Butiá,city,1431,45,True,20952,4302709,6829.89691,0.0314
2021-04-15,RS,Caçapava do Sul,city,2450,57,True,33548,4302808,7302.96888,0.0233
2021-04-15,RS,Cacequi,city,156,4,True,12423,4302907,1255.73533,0.0256
2021-04-15,RS,Cachoeira do Sul,city,5720,86,True,81869,4303004,6986.77155,0.015
2021-04-15,RS,Cachoeirinha,city,10589,323,True,131240,4303103,8068.42426,0.0305
2021-04-15,RS,Cacique Doble,city,314,5,True,5074,4303202,6188.41151,0.0159
2021-04-15,RS,Caibaté,city,198,7,True,4823,4303301,4105.32863,0.0354
2021-04-15,RS,Caiçara,city,398,7,True,4700,4303400,8468.08511,0.0176
2021-04-15,RS,Camaquã,city,5483,102,True,66478,4303509,8247.84139,0.0186
2021-04-15,RS,Camargo,city,270,5,True,2742,4303558,9846.82713,0.0185
2021-04-15,RS,Cambará do Sul,city,288,6,True,6406,4303608,4495.7852,0.0208
2021-04-15,RS,Campestre da Serra,city,134,0,True,3395,4303673,3946.98085,0.0
2021-04-15,RS,Campina das Missões,city,364,7,True,5398,4303707,6743.23824,0.0192
2021-04-15,RS,Campinas do Sul,city,369,5,True,5438,4303806,6785.58293,0.0136
2021-04-15,RS,Campo Bom,city,8542,207,True,69458,4303905,12298.07941,0.0242
2021-04-15,RS,Campo Novo,city,278,9,True,4376,4304002,6352.83364,0.0324
2021-04-15,RS,Campos Borges,city,305,4,True,3295,4304101,9256.44917,0.0131
2021-04-15,RS,Candelária,city,1954,41,True,31421,4304200,6218.77089,0.021
2021-04-15,RS,Cândido Godói,city,342,1,True,6151,4304309,5560.07153,0.0029
2021-04-15,RS,Candiota,city,560,7,True,9647,4304358,5804.91344,0.0125
2021-04-15,RS,Canela,city,5361,157,True,45488,4304408,11785.52585,0.0293
2021-04-15,RS,Canguçu,city,2061,45,True,56211,4304507,3666.54214,0.0218
2021-04-15,RS,Canoas,city,29316,1173,True,348208,4304606,8419.10582,0.04
2021-04-15,RS,Canudos do Vale,city,105,3,True,1705,4304614,6158.35777,0.0286
2021-04-15,RS,Capão Bonito do Sul,city,132,2,True,1641,4304622,8043.87569,0.0152
2021-04-15,RS,Capão da Canoa,city,6287,147,True,54051,4304630,11631.60719,0.0234
2021-04-15,RS,Capão do Cipó,city,144,4,True,3699,4304655,3892.94404,0.0278
2021-04-15,RS,Capão do Leão,city,1019,50,True,25409,4304663,4010.39002,0.0491
2021-04-15,RS,Capela de Santana,city,577,12,True,12064,4304689,4782.82493,0.0208
2021-04-15,RS,Capitão,city,305,2,True,2763,4304697,11038.72602,0.0066
2021-04-15,RS,Capivari do Sul,city,692,4,True,4728,4304671,14636.20981,0.0058
2021-04-15,RS,Caraá,city,697,15,True,8350,4304713,8347.30539,0.0215
2021-04-15,RS,Carazinho,city,5512,115,True,62265,4304705,8852.48534,0.0209
2021-04-15,RS,Carlos Barbosa,city,3064,36,True,30241,4304804,10131.94008,0.0117
2021-04-15,RS,Carlos Gomes,city,90,1,True,1351,4304853,6661.73205,0.0111
2021-04-15,RS,Casca,city,1090,17,True,9051,4304903,12042.86819,0.0156
2021-04-15,RS,Caseiros,city,309,7,True,3216,4304952,9608.20896,0.0227
2021-04-15,RS,Catuípe,city,596,18,True,8701,4305009,6849.78738,0.0302
2021-04-15,RS,Caxias do Sul,city,39002,823,True,517451,4305108,7537.33204,0.0211
2021-04-15,RS,Centenário,city,115,1,True,2877,4305116,3997.21933,0.0087
2021-04-15,RS,Cerrito,city,230,7,True,6047,4305124,3803.53894,0.0304
2021-04-15,RS,Cerro Branco,city,155,1,True,4706,4305132,3293.66766,0.0065
2021-04-15,RS,Cerro Grande,city,204,6,True,2296,4305157,8885.01742,0.0294
2021-04-15,RS,Cerro Grande do Sul,city,452,15,True,12413,4305173,3641.34375,0.0332
2021-04-15,RS,Cerro Largo,city,1047,17,True,14189,4305207,7378.95553,0.0162
2021-04-15,RS,Chapada,city,623,4,True,9239,4305306,6743.15402,0.0064
2021-04-15,RS,Charqueadas,city,3777,63,True,41258,4305355,9154.5882,0.0167
2021-04-15,RS,Charrua,city,284,12,True,3252,4305371,8733.08733,0.0423
